# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
21400 0.0135213 0.977426 0.293777 0.608908
21500 0.0121368 0.979714 0.295621 0.607015
21600 0.0225621 0.962617 0.285293 0.617694
21700 0.00730458 0.987741 0.296826 0.605781
21800 0.0163324 0.972797 0.288 0.614877
21900 -0.0250994 1.0433 0.322229 0.580344
22000 -0.0229988 1.0396 0.321983 0.580586
22100 0.0454513 0.92612 0.267199 0.636859
22200 0.0395851 0.93534 0.273793 0.629807
22300 -0.00686109 1.01165 0.312191 0.590265
22400 0.0807492 0.872531 0.237888 0.669174
22500 0.228197 0.680215 0.120446 0.815958
22600 0.270992 0.632794 0.0841128 0.867589
22700 0.153076 0.772216 0.177737 0.740717
22800 0.124084 0.810961 0.199445 0.714057
22900 0.103708 0.83935 0.219382 0.690417
23000 0.0210532 0.965073 0.285989 0.616969
23100 0.00469828 0.992098 0.302829 0.599671
23200 0.0208233 0.965448 0.290213 0.612584
23300 0.0534269 0.913731 0.26279 0.641618
23400 0.0115264 0.980724 0.290767 0.612011
23500 0.0817872 0.871003 0.232126 0.675718
23600 0.0363909 0.940398 0.269855 0.634009
23700 0.0197882 0.967137 0.282532 0.620581
23800 0.00775699 0.986987 0.298193 0.604384
23900 0.0972914 0.848495 0.229333 0.678912
24000 0.0674549 0.89234 0.252343 0.653038
24100 0.0590579 0.905083 0.256693 0.648258
24200 0.0212292 0.964786 0.288471 0.614389
24300 -0.0307748 1.05334 0.328381 0.574347
24400 0.10939 0.831335 0.216078 0.69428
24500 0.110582 0.829664 0.216828 0.693401
24600 0.0758173 0.879828 0.243707 0.662631
24700 0.0221139 0.963346 0.280208 0.623021
24800 0.0515792 0.916586 0.256086 0.648924
24900 0.0638084 0.897852 0.247832 0.658032
25000 0.0721697 0.885264 0.239624 0.667216
25100 0.0417293 0.931959 0.265614 0.638566
25200 0.0827323 0.869614 0.232227 0.675602
25300 0.0309426 0.94909 0.273152 0.630489
25400 0.0957688 0.850679 0.217936 0.692104
25500 0.0840209 0.867723 0.226236 0.682472
25600 0.103464 0.839696 0.208455 0.703274
25700 0.118605 0.818499 0.19686 0.71718
25800 -0.0188105 1.03227 0.309733 0.592721
25900 -0.0311827 1.05407 0.318132 0.584374
26000 0.034691 0.943102 0.268136 0.635853
26100 0.128352 0.805137 0.193892 0.720784
26200 0.218257 0.691729 0.128708 0.804653
26300 0.16068 0.762362 0.173436 0.746117
26400 0.0748742 0.88123 0.237998 0.66905
26500 0.142995 0.785473 0.179846 0.738084
26600 0.0940916 0.853092 0.22137 0.688102
26700 0.11552 0.822774 0.203764 0.708868
26800 0.239419 0.667446 0.102201 0.841489
26900 0.2274 0.681132 0.112455 0.827044
27000 0.224772 0.684161 0.113851 0.825097
27100 0.24835 0.657456 0.0956235 0.850888
27200 0.269241 0.634667 0.0759628 0.879612
27300 0.232499 0.675291 0.101946 0.841852
27400 0.153038 0.772265 0.165008 0.756812
27500 0.184122 0.732774 0.141076 0.788022
27600 0.227267 0.681285 0.108945 0.831961
27700 0.285025 0.617974 0.0682678 0.891116
27800 0.266106 0.638035 0.0902152 0.858694
27900 0.195809 0.718454 0.152647 0.772774
28000 0.131538 0.800817 0.206171 0.705992
28100 0.114812 0.823759 0.215761 0.694651
28200 0.094537 0.85245 0.225285 0.683569
28300 0.141891 0.786938 0.180555 0.737201
28400 0.112944 0.826361 0.205088 0.707284
28500 0.151826 0.773847 0.179186 0.738907
28600 0.12001 0.81656 0.205879 0.70634
28700 0.0864825 0.864124 0.234095 0.673475
28800 0.157759 0.766133 0.176353 0.742451
28900 0.207831 0.704016 0.135966 0.794852
29000 0.188583 0.727274 0.153508 0.771652
29100 0.172637 0.747124 0.16216 0.76046
29200 0.243271 0.663119 0.103131 0.840168
29300 0.253533 0.651727 0.0938018 0.853509
29400 0.254891 0.650234 0.0937304 0.853612
29500 0.31099 0.591464 0.0458418 0.925509
29600 0.290341 0.612452 0.0605855 0.902752
29700 0.236899 0.670293 0.107894 0.833438
29800 0.258876 0.645873 0.0947003 0.852215
29900 0.241437 0.665176 0.111848 0.827892
30000 0.252927 0.652394 0.0983681 0.846953
30100 0.232386 0.67542 0.116601 0.821273
30200 0.222957 0.686261 0.126741 0.807331
30300 0.273165 0.630476 0.081494 0.871434
30400 0.200284 0.713045 0.139288 0.790406
30500 0.263298 0.641068 0.0901217 0.85883
30600 0.300012 0.602531 0.0623483 0.900068
30700 0.282242 0.620885 0.0815827 0.871303
30800 0.249774 0.655877 0.110838 0.829305
30900 0.166283 0.755184 0.174684 0.744546
31000 0.193415 0.721364 0.150693 0.775329
31100 0.24642 0.659603 0.108287 0.832886
31200 0.268937 0.634992 0.0934749 0.853981
31300 0.253394 0.65188 0.110406 0.82991
31400 0.184269 0.732592 0.165389 0.756324
31500 0.184668 0.732098 0.163447 0.758809
31600 0.166998 0.754273 0.176191 0.742653
31700 0.203406 0.709296 0.147044 0.780121
31800 0.214698 0.695899 0.138217 0.791837
31900 0.230572 0.677493 0.123271 0.812075
32000 0.154434 0.770445 0.18247 0.734821
32100 0.122147 0.813618 0.207332 0.704609
32200 0.188896 0.72689 0.151608 0.774132
32300 0.147343 0.779727 0.186019 0.73043
32400 0.114952 0.823564 0.213233 0.697623
32500 0.0952574 0.851414 0.232629 0.675144
32600 0.0999839 0.844645 0.230061 0.678078
32700 0.132333 0.799743 0.199474 0.714021
32800 0.204558 0.707918 0.137066 0.793377
32900 0.225641 0.683158 0.123343 0.811977
33000 0.256214 0.648783 0.0992043 0.845758
33100 0.243554 0.662803 0.111333 0.828612
33200 0.238806 0.668138 0.108903 0.83202
33300 0.220163 0.689507 0.120602 0.815743
33400 0.183443 0.733615 0.149147 0.777355
33500 0.144344 0.783686 0.185547 0.731012
33600 0.142672 0.785902 0.19179 0.723346
33700 0.103801 0.839218 0.220065 0.68962
33800 0.111093 0.828949 0.211809 0.699303
33900 0.0823652 0.870153 0.236059 0.671245
34000 0.112661 0.826756 0.216817 0.693413
34100 0.114781 0.823801 0.214984 0.695563
34200 0.197685 0.716182 0.142311 0.78638
34300 0.264676 0.639578 0.0851077 0.866132
34400 0.193919 0.72075 0.140536 0.788741
34500 0.131505 0.800862 0.192177 0.722874
34600 0.183955 0.732981 0.149631 0.77672
34700 0.202256 0.710674 0.139106 0.790648
34800 0.217705 0.692375 0.126308 0.807921
34900 0.226605 0.682046 0.11429 0.824486
35000 0.176098 0.74277 0.155827 0.768635
35100 0.134343 0.797033 0.198827 0.714802
35200 0.10173 0.842159 0.227894 0.680564
35300 0.147425 0.779619 0.186942 0.729293
35400 0.0630844 0.89895 0.256061 0.648951
35500 0.107397 0.834138 0.223255 0.685916
35600 0.139561 0.790041 0.202404 0.710497
35700 0.127697 0.806028 0.207623 0.704263
35800 0.124237 0.810752 0.211929 0.699161
35900 0.108248 0.83294 0.21954 0.690232
